year,university_id,name_en,SUM(enrolled),sum(students),sum(graduates),sum(entrants),sum(morning),sum(afternoon),sum(night),sum(full_time)
2009,00001,"Computer (IT) teacher education",113,211,7,30,210,0,1,1
2009,00001,"Computer science",232,310,24,86,0,0,0,0
2009,00001,"Computer Sciences",261,350,24,126,0,0,40,40
2009,00001,"Information systems",29,40,0,40,0,0,40,40
2009,00002,"Computer (IT) teacher education",254,315,49,85,0,0,315,315
2009,00002,"Computer engineering",38,40,0,40,0,0,0,0
2009,00002,"Computer science",295,350,42,90,0,0,0,0
2009,00002,"Computer Sciences",295,350,42,90,0,0,0,0
2009,00003,"Computer engineering (hardware)",46,50,0,50,50,0,0,0
2009,00003,"Computer science",272,321,39,102,0,321,0,0
2009,00003,"Computer Sciences",632,735,39,283,50,535,150,150
2009,00003,"Information systems",314,364,0,131,0,214,150,150
2009,00004,"Computer engineering",221,221,13,54,0,0,0,0
2009,00004,"Computer science",282,282,17,56,0,0,0,0
2009,00004,"Computer Sciences",479,479,20,149,0,0,43,43
2009,00004,"Information systems",188,188,0,93,0,0,43,43
2009,00005,"Computer science",410,446,22,75,0,0,0,0
2009,00005,"Computer Sciences",623,666,22,174,0,0,0,0
2009,00005,"Information systems",213,220,0,99,0,0,0,0
2009,00006,"Computer engineering",30,30,0,30,0,0,30,30
2009,00006,"Computer science",201,225,12,79,0,225,0,0
2009,00006,"Computer Sciences",385,419,25,138,0,419,194,194
2009,00006,"Information systems",184,194,13,59,0,194,194,194
2009,00007,"Computer engineering (hardware)",186,189,24,32,0,0,0,0
2009,00007,"Computer science",399,411,37,129,0,0,0,0
2009,00007,"Computer Sciences",585,600,61,161,0,0,0,0
2009,00008,"Computer science",184,196,30,46,0,0,0,0
2009,00008,"Computer Sciences",337,360,30,131,0,0,128,128
2009,00008,"Information systems",88,95,0,54,0,0,59,59
2009,00008,"Systems analysis and development (technologist)",65,69,0,31,0,0,69,69
2009,00009,"Computer science",191,206,54,40,0,0,0,0
2009,00009,"Computer Sciences",191,206,54,40,0,0,0,0
2009,00010,"Computer engineering (hardware)",255,317,42,93,317,0,317,317
2009,00010,"Computer science",122,145,11,46,145,0,0,0
2009,00010,"Computer Sciences",710,837,94,256,462,0,692,692
2009,00010,"Information systems",312,349,41,91,0,0,349,349
2009,00011,"Computer science",782,1068,87,148,0,1068,1068,1068
2009,00011,"Computer Sciences",788,1080,90,148,0,1068,1080,1080
2009,00011,"Information systems",6,12,3,0,0,0,12,12
2009,00012,"Computer engineering",162,168,24,51,0,0,0,0
2009,00012,"Computer Sciences",103,126,0,76,0,0,101,101
2009,00012,"Information systems",25,25,0,25,0,0,0,0
2009,00012,"Systems analysis and development (technologist)",78,101,0,51,0,0,101,101
2009,00013,"Computer (IT) teacher education",42,100,10,0,0,0,100,100
2009,00013,"Computer science",331,470,30,135,0,0,470,470
2009,00013,"Computer Sciences",841,1251,79,296,0,0,1251,1251
2009,00013,"Information systems",486,712,38,149,0,0,712,712
2009,00013,"Systems analysis and development (technologist)",24,69,11,12,0,0,69,69
2009,00014,"Computer engineering (hardware)",45,81,9,45,81,0,0,0
2009,00014,"Computer science",373,923,11,205,923,0,0,0
2009,00014,"Computer Sciences",1515,3185,64,874,1376,0,1809,1809
2009,00014,"Information systems",335,797,36,134,0,0,797,797
2009,00014,"Systems analysis and development (technologist)",304,531,1,243,0,0,531,531
2009,00015,"Computer engineering",105,105,0,45,0,105,0,0
2009,00015,"Computer science",47,47,0,2,0,0,47,47
2009,00015,"Computer Sciences",86,86,0,5,0,39,47,47
