Universidade, Ingressantes, Concluintes
Instituto Superior De Educacao De Bicas,2,42
Faculdade De Tecnologia Cachoeiro De Itapemirim,2,236
Instituto Superior De Educacao Do Sul Da Bahia,2,144
Faculdade Metodista Do Sul Paulista,2,38
Faculdade Presidente Antonio Carlos De Matozinhos,2,52
Faculdade Candido Rondon De Campo Verde,186,300
Faculdade De Tecnologia Senai Luzerna,62,174
Faculdade Presidente Antonio Carlos De Sao Joao Del Rei,2,1126
Faculdade De Ciencias Contabeis De Itabirito,2,162
Faculdade De Ciencias,2,80
